Timestamp,Email Address,How much attention were you paying to the music?,Rate your liking for Track 1,Rate your liking for Track 2,Rate your liking for Track 3,Rate your liking for Track 4,Rate your liking for Track 5,Rate your liking for Track 6,Rate your liking for Track 7,Rate your liking for Track 8,Rate your liking for Track 9,Rate your liking for Track 10,List any of these songs that you heard prior to this experiment.,List any of these artists that you heard prior to this experiment.,What type of Spotify account do you have?,List the songs in the order you heard them.,Did you give ratings for the order you provided or the original order?
12142020  2:08:25 PM,12,4,Dislike,Like,Like,Like,NeutralNot Sure,Dislike,Like,NeutralNot Sure,Dislike,NeutralNot Sure,"Wide Awake, Stillness is the move, hot wax, seven eleven, arch enermy,  chin up, ne touche pas moi","parquet courts, dirty projectors, king gizzard and the lizzard wizzard, HMLTD, black midi, Everything Everything, purple mountains, Copeland, Idles",Premium,,
12312020  8:37:35 PM,13,4,Like,Dislike,Like,Like,Dislike,Like,NeutralNot Sure,Like,Dislike,Dislike,,,Free,"drive in, work work, pizza alley, advice..., street reppin, reagan, buddies, the black mirror ep, control you, ttktv",Original order
12192020  10:16:22 PM,14,4,Like,Like,NeutralNot Sure,Like,Like,Dislike,Like,NeutralNot Sure,Like,Like,###############################################################################################################################################################################################################################################################,Pavement; Copeland; Jeff Rosenstock,Premium,,
12212020  9:25:26 AM,15,5,Dislike,NeutralNot Sure,Like,Like,NeutralNot Sure,Like,Like,Dislike,Dislike,Like,,"MOVEMENT, killer Mike ",Premium,,
12152020  1:11:54 PM,16,5,Dislike,Dislike,Dislike,NeutralNot Sure,Like,Like,NeutralNot Sure,NeutralNot Sure,Dislike,Dislike,"Broadripple is burn, death March, keep your name, promontory death, ducter","King Gizzard, idles, the voids, algiers, Margot & the Nuclear....., Parquet Courts, dirty projectors, HMLTD, crying, black midi",Premium,,
12302020  5:45:58 AM,17,4,Like,Like,Like,Dislike,NeutralNot Sure,NeutralNot Sure,Dislike,NeutralNot Sure,Dislike,Like,None,None,Free,"Bucciarati, LMK, Mama Says, Untitled, Polly, White Rose, Buddies, Like WhAT, Shooter, Drive In, ",Original order
12282020  2:46:30 AM,18,4,Like,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,Like,NeutralNot Sure,Dislike,Like,Like,NeutralNot Sure,"Hot Wax, Ne Touche Pas Moi, Stillness Is the Move, The Best Ever Death Metal Band in  Denton, Violent Sun","King Gizzard & the Lizard Wizard, Purple Mountains, Dirty Projectors, The Mountain Goats",Free,"Hot Wax, Ketchum ID, 910, Storyline Fever, Ne Touche Pas Moi, Blood, Vacation, Stillness Is the Move, The Best Ever Death Metal Band in Denton, Violent Sun",Shuffled order
12242020  1:47:12 PM,19,5,Like,Dislike,Like,Like,NeutralNot Sure,Like,Like,Like,Like,Like,,,Premium,,
12152020  7:17:20 PM,20,5,Like,Dislike,Like,NeutralNot Sure,NeutralNot Sure,Like,NeutralNot Sure,Like,Dislike,Dislike,Dirty Dirty-Charlotte Cardin,Charlotte Cardin,Premium,,
12202020  12:15:15 PM,21,5,Dislike,NeutralNot Sure,Dislike,Dislike,Dislike,Like,Dislike,Dislike,NeutralNot Sure,Dislike,,,Premium,,
12242020  3:54:58 PM,22,5,Dislike,Dislike,NeutralNot Sure,Dislike,Dislike,Like,NeutralNot Sure,Dislike,Dislike,Dislike,None,None,Free,I have it listed to mirror the song list,Original order
12152020  7:48:11 PM,23,4,Like,NeutralNot Sure,Dislike,Like,Like,Dislike,Dislike,Like,Dislike,Like,,,Premium,,
12192020  11:47:32 AM,24,4,Like,NeutralNot Sure,NeutralNot Sure,Dislike,NeutralNot Sure,Dislike,Dislike,Dislike,Dislike,NeutralNot Sure,,,Premium,,
12142020  11:45:11 AM,25,5,Like,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,Dislike,None,None,Premium,,
12272020  12:17:34 PM,26,3,Dislike,Dislike,Like,Like,Like,Like,NeutralNot Sure,Dislike,Dislike,Like,,Echos,Premium,,
182021  1:02:33 PM,27,5,Dislike,Like,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,Like,Dislike,NeutralNot Sure,NeutralNot Sure,Dislike,NA,NA,Premium,,
172021  2:52:14 PM,28,4,Dislike,Like,Like,NeutralNot Sure,Like,Like,NeutralNot Sure,Like,Like,Like,,,Premium,,
12202020  1:34:18 PM,29,4,Like,Like,Like,NeutralNot Sure,Like,Like,Like,Like,Like,Like,,Perfume Genius,Premium,,
12282020  3:27:23 AM,30,3,NeutralNot Sure,NeutralNot Sure,Like,Like,NeutralNot Sure,Like,Like,Like,Dislike,Like,Na,Na ,Premium,,
12142020  7:11:43 PM,31,3,Like,Like,Dislike,Dislike,Dislike,NeutralNot Sure,Dislike,NeutralNot Sure,NeutralNot Sure,Dislike,Lay-By,"BAYNK, Tennyson, Killer Mike, Apollo Brown",Premium,,
12142020  12:00:52 PM,32,4,Like,NeutralNot Sure,Like,Like,NeutralNot Sure,Dislike,NeutralNot Sure,Like,Like,Dislike,Leave Your Lover,Echos,Premium,,
12172020  8:05:40 PM,33,5,Like,Dislike,Like,NeutralNot Sure,Dislike,Dislike,Like,Like,Like,NeutralNot Sure,none,none,Premium,,
12222020  10:50:52 PM,34,5,Dislike,NeutralNot Sure,Like,Like,Like,Dislike,Like,Like,Like,Like,,,Free,"Healing, Los Puntos, Popeye, Reagan, Advice to My Younger Self, Work Work, Drive in, Lay-by, Pizza Alley, Joey Labeija_Better_107 BPM",Original order
12202020  3:02:55 PM,35,5,Dislike,Like,Like,Dislike,NeutralNot Sure,Like,NeutralNot Sure,Dislike,Dislike,NeutralNot Sure,,,Premium,,
12192020  6:07:24 AM,36,4,Like,NeutralNot Sure,Like,NeutralNot Sure,Like,Like,NeutralNot Sure,Like,Like,Like,,,Premium,,
12202020  11:54:11 PM,37,4,Like,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,Like,Like,NeutralNot Sure,Dislike,NeutralNot Sure,Like,,,Premium,,
12142020  7:25:41 PM,38,4,Like,Like,Like,Like,NeutralNot Sure,Like,Like,Like,NeutralNot Sure,Dislike,NA,NA,Premium,,
12152020  1:57:02 AM,39,5,Like,Like,Like,Like,Like,Like,Like,Like,NeutralNot Sure,Dislike,Preservation,"ibeyi, kamasi washington, wu tang, del the funkee homosapien, killer mike, ei-p,  aesop rock",Premium,,
12192020  9:30:40 PM,40,5,Dislike,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,Dislike,Dislike,NeutralNot Sure,NeutralNot Sure,Like,Like,,Awkwafina,Free,I corrected the order of ratings to the original playlist order,Original order
