Timestamp,Email Address,How much attention were you paying to the music?,Rate your liking for Track 1,Rate your liking for Track 2,Rate your liking for Track 3,Rate your liking for Track 4,Rate your liking for Track 5,Rate your liking for Track 6,Rate your liking for Track 7,Rate your liking for Track 8,Rate your liking for Track 9,Rate your liking for Track 10,List any of these songs that you heard prior to this experiment.,List any of these artists that you heard prior to this experiment.,What type of Spotify account do you have?,List the songs in the order you heard them.,Did you give ratings for the order you provided or the original order?
12202020  10:02:49 PM,2,5,Like,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,Like,Like,Like,NeutralNot Sure,None,None,Premium,,
12142020  12:03:56 PM,3,4,NeutralNot Sure,NeutralNot Sure,Like,NeutralNot Sure,Dislike,NeutralNot Sure,Like,Like,Dislike,Like,none,none,Premium,,
12272020  12:59:56 AM,4,3,Like,Like,Like,Like,Like,Like,NeutralNot Sure,Dislike,Dislike,NeutralNot Sure,,"parquet courts, idles, king gizz",Free,in playlist order,Original order
12242020  4:38:07 AM,5,4,NeutralNot Sure,Like,Dislike,Dislike,NeutralNot Sure,Like,Dislike,Dislike,Dislike,Dislike,None,None,Free,"Kind of confusing because there was 15 songs... 

A lot gonna change, on the floor, window shades, forgot this one, passive aggressive, vacant, surreal,walk with you, tin, cassette, note to self, Donnie darko ",Shuffled order
12292020  1:10:13 PM,6,5,Like,Dislike,NeutralNot Sure,Dislike,Like,Like,Like,Like,Dislike,NeutralNot Sure,Double shifts,Charlotte Cardin ,Premium,,
12142020  5:52:46 PM,7,4,Like,Like,Like,NeutralNot Sure,Dislike,Like,Dislike,Dislike,Like,NeutralNot Sure,,"KAASI, Khalid",Premium,,
12182020  7:45:00 PM,8,5,Like,Like,Like,NeutralNot Sure,Dislike,Like,NeutralNot Sure,Like,Like,NeutralNot Sure,None,None,Premium,,
12232020  7:35:02 AM,9,2,Dislike,Dislike,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,NeutralNot Sure,Dislike,Dislike,NeutralNot Sure,NeutralNot Sure,,,Premium,,
12252020  10:50:02 PM,10,4,Dislike,Dislike,Like,Like,NeutralNot Sure,Dislike,Dislike,Dislike,Dislike,Dislike,Broad ripple is burning,Margot and the nuclear so sos,Premium,,
12202020  9:08:25 PM,11,5,NeutralNot Sure,NeutralNot Sure,Dislike,Like,Like,Like,Like,Dislike,NeutralNot Sure,Like,"War, Nights that Won't Happen, of Schlagenheim","boygenius, IDLES, Andrew WK, Jeff Rosenstock, Purple Mountains, black midi ",Premium,,
